key,title,안정,정상,참고,관찰,주의,위험,확인 부족
ABOVE200,200DMA 위 종목 비율,0,0,0,0,0,0,250
ADV,상승 종목 비율,0,0,0,0,0,0,250
BBB,BBB OAS,235,0,0,15,0,0,0
CAPE,CAPE,0,0,0,0,0,0,250
CLAIMS,신규실업수당 4주평균,0,0,0,0,0,0,250
COPPER,구리,0,228,0,22,0,0,0
CORECPI,근원 CPI,0,0,0,0,0,0,250
COREPCE,근원 PCE,0,0,0,0,0,0,250
CPI,CPI,0,0,0,0,0,0,250
CURVE2,미국 10년물-2년물 금리차,0,0,0,0,0,0,250
CURVE3,미국 10년물-3개월물 금리차,0,0,0,0,0,0,250
CURVEFED,미국 10년물-기준금리 차,0,0,0,0,0,0,250
DXY,달러지수,0,0,0,0,0,0,250
EFFR,미국 기준금리,0,239,0,11,0,0,0
EW,동일가중 상대성과,0,194,0,38,18,0,0
GOLD,금,0,154,0,56,40,0,0
HILO,52주 신고가-신저가 비율,0,0,0,0,0,0,250
HY,하이일드 OAS,221,0,0,26,3,0,0
HYPOS,HY 1년 위치,0,0,250,0,0,0,0
MA200,200일 이동평균 이격,0,0,0,0,0,0,250
NASDAQ,Nasdaq,0,0,0,0,0,0,250
REAL10,미국 10년물 실질금리,0,0,0,0,0,0,250
RUSSELL,Russell 2000,0,210,0,34,6,0,0
SAHM,Sahm Rule,0,39,0,0,0,0,211
SILVER,은,0,134,0,55,61,0,0
SP500,S&P500,0,0,0,0,0,0,250
TERM,미국 10년물 기간프리미엄,0,137,0,59,54,0,0
UNEMP,미국 실업률,0,0,0,39,0,0,211
US10Y,미국 10년물 국채수익률,0,0,0,0,0,0,250
US2Y,미국 2년물 국채수익률,0,0,0,0,0,0,250
US30Y,미국 30년물 국채수익률,0,0,0,0,0,0,250
US3M,미국 3개월물 국채수익률,0,0,0,0,0,0,250
USDJPY,달러/엔,0,0,0,0,0,0,250
USDKRW,달러/원,0,0,0,0,0,0,250
VIX,VIX,25,173,0,32,18,2,0
VIXPOS,VIX 1년 위치,0,0,250,0,0,0,0
WTI,WTI,0,0,0,0,0,0,250
